userId,Father of the Bride Part II (1995),Waiting to Exhale (1995),Heat (1995),"American President, The (1995)",Grumpier Old Men (1995),Tom and Huck (1995),Balto (1995),Cutthroat Island (1995),Sabrina (1995),GoldenEye (1995),Dracula: Dead and Loving It (1995),Nixon (1995),Jumanji (1995),Toy Story (1995),Sudden Death (1995),Casino (1995)
2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
15,4.5,0,4,2.5,0,0,0,0,0,3,0,2.5,2,2,0,3.5
17,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,0,4,0,0,0,0,0,3,0,0,2,0,0,3,0
19,0,3,3,3,3,0,0,0,3,3,0,5,3,3,3,5
20,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
23,0,0,3.5,3.5,0,0,0,0,0,0,0,0,0,3,0,4
24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
30,0,0,4,4,0,4,0,0,0,0,0,4,2,4,0,5
32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
39,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,5
41,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
44,3,0,3,0,5,0,0,0,0,0,0,0,0,4,0,0
47,0,0,0,0,0,0,0,0,0,4,0,0,5,5,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
50,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
55,3,0,5,0,0,0,0,0,2,0,0,0,0,3,3,0
56,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4
57,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
61,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0
63,0,0,0,3.5,0,0,0,0,0,0,0,0,0,5,0,5
67,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,4
68,0,0,0,3.5,0,0,0,0,0,0,0,0,3,4,0,0
69,5,0,0,0,0,0,0,0,0,0,0,0,3.5,5,0,0
70,5,0,0,0,5,0,0,0,3,0,3,3,0,5,3,0
72,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3.5,0,0
73,0,0,4.5,0,0,0,0,2.5,0,3,0,0,2.5,5,0,4
74,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3
75,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
77,0,0,3.5,0,0,0,0,0,0,3,0,0,0,4,0,0
78,0,0,0,0,0,0,0,0,0,5,0,0,3.5,0,0,5
79,0,0,0,0,0,0,0,0,0.5,0,0,0,2.5,2,0,0
80,0,0,4,0,0,0,0,0,4,3,0,0,2,0,0,5
82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
83,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
85,3,0,0,0,2,0,0,0,0,5,0,0,5,0,0,0
86,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0
87,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0
88,0,0,0,3.5,0,0,0,0,4,0,0,0,3.5,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
90,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0
91,0,0,0,0,0,0,0,0,0,0,3.5,0,0,5,0,0
92,0,0,3,4,0,0,0,0,0,2,0,0,3,5,0,0
93,0,0,0,3.5,0,0,0,0,0,0,0,0,0,4,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3.5
95,0,0,5,4,0,0,0,0,0,0,0,0,0,0,3,5
97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
100,0,0,3,0,4,0,0,0,3,0,0,0,0,4,0,0
102,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
105,0,0,3,3.5,0,0,0,0,0,3.5,0,0,0,0,0,5
106,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
108,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
110,4,0,4,5,4,0,0,0,4,4,0,0,0,0,5,4
111,3,0,0,4,0,0,0,0,3.5,3.5,0,0,0,0,0,0
112,0,0,3,0,5,0,0,0,0,0,0,0,0,5,0,0
113,5,3,4,0,0,5,0,0,0,3,0,0,5,0,4,5
114,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
115,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
119,0,0,5,0,0,0,0,0,0,0,0,0,3,2,0,3
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
121,0,0,4,4,0,0,0,0,0,3,0,0,0,4,0,0
122,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,3,4.5,0,0
125,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0
126,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0
127,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,3,0,0,2,4,0,0,5,0,0,0,4,5,0,0
130,0,0,0,0,0,0,0,0,0,3.5,0,0,0,3,0,0
134,1,0,0,0,0,0,0,0,0,4,0,0,4.5,3.5,0,4
135,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
137,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
140,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
144,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
150,2.5,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0
151,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0
152,0,0,4,0,0,0,0,0,0,1.5,0,0,0,3.5,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
154,3,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0
157,0,0,0,0,0,0,0,0,0,3.5,2,0,2.5,3.5,0,0
159,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
161,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0
162,4,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
164,0,0,0,0,0,0,0,0,0,4,0,0,0,3.5,0,0
165,0,0,0,0,2.5,0,0,0,0,2.5,0,0,3,2.5,0,0
